Model,BERT-P,BERT-R,BERT-F1
LLaMA 3.3 70B,84.0383768081665,87.93522119522095,85.92311143875122
GPT-4o Mini,84.246164560318,87.79529929161072,85.97143888473511
Gemini 2.5 Flash,83.4180235862732,87.93349862098694,85.60274243354797
DeepSeek V4 Flash,83.42883586883545,87.87589073181152,85.5809211730957
Qwen 3.5 Flash,83.67888927459717,87.72326111793518,85.6415331363678
Gemini 3.1 Flash Lite,83.50687623023987,87.88232803344727,85.62662601470947
GPT-5.6 Luna,83.02153944969177,87.56964802742004,85.22287011146545
Qwen 3.6 27B,83.13408493995667,87.57697343826294,85.2834165096283
