Model,ROUGE-1,ROUGE-2,ROUGE-L,Factuality (Precision),Coverage (Recall),BanglaSummEval F1 (GPT-4o Judge)
Deepseek V4 Flash,15,4.19,11.22,64.14,56.17,57.34
Gemini 2.5 Flash,15.05,4.32,11.27,61.65,60.83,58.43
Gemini 3.1 Flash Lite,14.04,3.88,10.93,52.83,52.5,49.73
GPT-4o Mini,15.63,4.53,11.83,63.38,55.33,56.73
GPT-5.6 Luna,14.01,3.71,10.65,58.87,56.17,54.84
Llama 3.3 70B (Groq),16.23,5.29,12.44,65.78,57.5,58.28
Qwen 3.5 Flash,14.74,4.09,11.16,61.48,57.17,56.15
Qwen 3.6 27B,13.5,3.57,10.11,60.49,59,56.41
