id,precision,recall,banglasummeval_f1
140427_pg_bd_heat_dhaka_ac,56.25,16.666666666666664,25.714285714285715
news-56880849,87.5,33.33333333333333,48.27586206896551
news-52808250,62.5,50.0,55.55555555555556
news-56080104,66.66666666666666,100.0,80.0
news-49141918,66.66666666666666,16.666666666666664,26.666666666666668
news-54239981,83.33333333333334,50.0,62.5
news-54230851,75.0,83.33333333333334,78.94736842105264
news-45155508,73.68421052631578,50.0,59.57446808510638
news-49047323,54.166666666666664,66.66666666666666,59.770114942528735
news-46205974,65.38461538461539,50.0,56.66666666666667
news-45408278,64.28571428571429,83.33333333333334,72.58064516129033
news-39127107,55.172413793103445,33.33333333333333,41.55844155844156
news-42949518,70.37037037037037,66.66666666666666,68.46846846846847
news-53549847,80.0,33.33333333333333,47.058823529411754
news-47301727,92.3076923076923,50.0,64.86486486486486
news-39844487,61.53846153846154,16.666666666666664,26.229508196721312
news-51083336,100.0,50.0,66.66666666666667
news-49709690,63.1578947368421,83.33333333333334,71.8562874251497
news-46679946,75.0,83.33333333333334,78.94736842105264
news-49144997,65.38461538461539,66.66666666666666,66.01941747572815
news-56546869,78.94736842105263,66.66666666666666,72.28915662650603
news-45932627,55.55555555555556,50.0,52.63157894736842
news-56728594,75.0,100.0,85.71428571428571
news-56878093,68.18181818181817,50.0,57.692307692307686
news-48499557,92.3076923076923,33.33333333333333,48.979591836734684
news-52668365,60.86956521739131,66.66666666666666,63.63636363636363
news-48081272,73.33333333333333,50.0,59.45945945945946
news-42139703,66.66666666666666,50.0,57.14285714285714
news-46002945,77.41935483870968,83.33333333333334,80.26755852842811
news-48151325,95.65217391304348,66.66666666666666,78.57142857142857
news-40377323,82.6086956521739,100.0,90.47619047619047
news-48742054,81.25,66.66666666666666,73.2394366197183
news-55754177,90.9090909090909,50.0,64.51612903225806
news-48290970,55.55555555555556,83.33333333333334,66.66666666666667
news-50441857,87.5,100.0,93.33333333333333
news-48488145,52.63157894736842,83.33333333333334,64.51612903225808
news-49173643,41.66666666666667,66.66666666666666,51.282051282051285
news-52345995,80.0,83.33333333333334,81.6326530612245
news-52220120,67.74193548387096,83.33333333333334,74.73309608540926
news-46175088,74.07407407407408,66.66666666666666,70.17543859649122
news-55427149,83.33333333333334,83.33333333333334,83.33333333333334
news-55806686,93.33333333333333,50.0,65.11627906976744
news-56602385,66.66666666666666,50.0,57.14285714285714
