id,precision,recall,banglasummeval_f1
140427_pg_bd_heat_dhaka_ac,69.23076923076923,16.666666666666664,26.865671641791042
news-56080104,69.23076923076923,66.66666666666666,67.92452830188678
news-54239981,57.14285714285714,66.66666666666666,61.53846153846153
news-54230851,57.14285714285714,83.33333333333334,67.79661016949153
news-52808250,66.66666666666666,66.66666666666666,66.66666666666666
news-56880849,62.5,33.33333333333333,43.47826086956521
news-39844487,47.368421052631575,83.33333333333334,60.402684563758385
news-46205974,52.17391304347826,66.66666666666666,58.536585365853654
news-42949518,72.72727272727273,66.66666666666666,69.56521739130434
news-39127107,72.72727272727273,100.0,84.21052631578947
news-49141918,76.19047619047619,50.0,60.37735849056604
news-45155508,69.56521739130434,83.33333333333334,75.82938388625593
news-45408278,70.83333333333334,66.66666666666666,68.68686868686869
news-49047323,52.0,66.66666666666666,58.42696629213483
news-53549847,62.5,83.33333333333334,71.42857142857143
news-49144997,62.5,33.33333333333333,43.47826086956521
news-56878093,62.5,66.66666666666666,64.51612903225806
news-47301727,90.9090909090909,66.66666666666666,76.9230769230769
news-51083336,76.47058823529412,100.0,86.66666666666667
news-49709690,69.23076923076923,83.33333333333334,75.63025210084034
news-56728594,76.92307692307693,66.66666666666666,71.42857142857143
news-46679946,56.00000000000001,100.0,71.79487179487181
news-56546869,60.0,66.66666666666666,63.1578947368421
news-42139703,64.28571428571429,83.33333333333334,72.58064516129033
news-45932627,68.75,50.0,57.89473684210526
news-46002945,52.94117647058824,83.33333333333334,64.74820143884894
news-52668365,54.54545454545454,66.66666666666666,60.0
news-48499557,75.0,83.33333333333334,78.94736842105264
news-48081272,35.0,0.0,0.0
news-40377323,66.66666666666666,100.0,80.0
news-48151325,61.904761904761905,16.666666666666664,26.26262626262626
news-55754177,44.44444444444444,33.33333333333333,38.095238095238095
news-48742054,44.44444444444444,33.33333333333333,38.095238095238095
news-48290970,44.44444444444444,66.66666666666666,53.33333333333333
news-49173643,64.28571428571429,83.33333333333334,72.58064516129033
news-52345995,55.00000000000001,66.66666666666666,60.273972602739725
news-48488145,50.0,50.0,50.0
news-52220120,66.66666666666666,66.66666666666666,66.66666666666666
news-55427149,70.58823529411765,33.33333333333333,45.28301886792453
news-46175088,66.66666666666666,83.33333333333334,74.07407407407408
news-56602385,57.89473684210527,83.33333333333334,68.32298136645964
news-55075456,46.666666666666664,83.33333333333334,59.82905982905983
news-55806686,50.0,16.666666666666664,25.0
news-50441857,56.52173913043478,33.33333333333333,41.93548387096774
news-50280907,53.333333333333336,50.0,51.612903225806456
news-56766795,75.0,33.33333333333333,46.153846153846146
news-54898675,45.45454545454545,33.33333333333333,38.46153846153845
news-51381825,90.0,66.66666666666666,76.59574468085106
news-41902828,71.42857142857143,66.66666666666666,68.96551724137932
news-49362977,84.61538461538461,83.33333333333334,83.96946564885496
news-51629780,61.904761904761905,66.66666666666666,64.19753086419753
news-48872060,69.23076923076923,50.0,58.064516129032256
news-44246998,63.1578947368421,16.666666666666664,26.373626373626372
news-45332030,40.909090909090914,66.66666666666666,50.70422535211268
news-48835708,100.0,83.33333333333334,90.9090909090909
news-46972950,61.904761904761905,66.66666666666666,64.19753086419753
news-42326655,85.71428571428571,83.33333333333334,84.50704225352113
news-51217515,75.0,66.66666666666666,70.58823529411764
news-46578414,56.25,66.66666666666666,61.016949152542374
news-50798626,75.0,33.33333333333333,46.153846153846146
news-48303883,50.0,66.66666666666666,57.14285714285714
news-54159266,42.857142857142854,33.33333333333333,37.5
news-55242258,42.10526315789473,66.66666666666666,51.61290322580644
news-46874688,53.57142857142857,66.66666666666666,59.4059405940594
news-47885378,50.0,50.0,50.0
news-40652345,71.42857142857143,33.33333333333333,45.45454545454545
news-53929704,73.33333333333333,100.0,84.61538461538463
news-45011087,68.18181818181817,83.33333333333334,75.00000000000001
news-45083152,72.72727272727273,50.0,59.25925925925926
