Model,Count,Precision,Recall,SummEval F1
GPT-5.6 Luna,100,65.1654101591563,58.0,58.05230408515113
Gemini 3.1 Flash Lite,100,59.73751280539208,52.83333333333333,52.282327326888556
Gemini 2.5 Flash,100,65.93288141596965,58.33333333333333,59.44233876441091
Qwen 3.5 Flash,100,67.03687863564024,58.16666666666668,58.51781051435345
Qwen 3.6 27B,100,63.1215922536356,55.83333333333333,56.57743620882636
DeepSeek V4 Flash,100,69.66029448147162,63.0,63.44981987820317
GPT-4o Mini,100,65.62472100482937,59.66666666666667,59.76312174136683
LLaMA 3.3 70B,100,69.6831283525556,57.16666666666667,60.1829815940977
